Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Dretch; Small fiend (demon); chaotic evil; 11; natural armor; 18; 4D6+4; 20 ft.; 11; 11; 12; 5; 8; 3; ; ; cold, fire, lightning; poison; poisoned; Darkvision 60 ft., PP 9; Abyssal, Telepathy 60 ft. (only with creatures that understand Abyssal); 1/4; 50; ; <i><b>Multiattack:</b></i> The dretch makes two attacks: one with its bite and two with its claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d6) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (2d4) slashing damage.<br><br><i><b>Fetid Cloud (1/Day):</b></i> A 10-foot radius of disgusting green gas extends out from the dretch. The gas spreads around corners, and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can't take reactions.; ; 
Barlgura; Large fiend (demon); chaotic evil; 15; natural armor; 68; 8d10+24; 30 ft., climb 30 ft.; 18; 15; 16; 7; 14; 9; Dex +5, Con +6; Perception +5, Stealth +5; cold, fire, lightning; poison; poisoned; Blindsight 30 ft., Darkvision 120 ft., PP 15; Abyssal, Telepathy 120 ft.; 5; 1800; ; <i><b>Multiattack:</b></i> The barlgura makes three attacks: one with its bite and two with its fists.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) piercing damage.<br><br><i><b>Fist:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (1d10+4) bludgeoning damage.; ; <i><b>Innate Spellcasting:</b></i> The barlgura's spellcasting ability is Wisdom (spell save DC 13). The barlgura can innately cast the following spells, requiring no material components:<br><br>1/day each: <i>entangle, phantasmal force</i><br>2/day each: <i>disguise self, invisibility (self only)</i><br><br><i><b>Reckless:</b></i> At the start of its turn, the barlgura can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.<br><br><i><b>Running Leap:</b></i> The barlgura's long jump is up to 40 feet and its high jump is up to 20 feet when it has a running start.
Balor; Huge fiend (demon); chaotic evil; 19; natural armor; 262; 21d12+126; 40 ft., fly 80 ft.; 26; 15; 22; 20; 16; 22; Str +14, Con +12, Wis +9, Cha +12; ; cold, lightning, bludgeoning, piercing and slashing from nonmagical weapons; fire, poison; poisoned; Truesight 120 ft., PP 13; Abyssal, Telepathy 120 ft.; 19; 22000; ; <i><b>Multiattack:</b></i> The balor makes two attacks: one with its longsword and one with its whip.<br><br><i><b>Longsword:</b> Melee Weapon Attack:</i> +14 to hit, reach 10 ft., one target. <i>Hit:</i> 21 (3d8+8) slashing damage plus 13 (3d8) lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice.<br><br><i><b>Whip:</b> Melee Weapon Attack:</i> +14 to hit, reach 30 ft., one target. <i>Hit:</i> 15 (2d6+8) slashing damage plus 10 (3d6) fire damage, and the target must succeed on a DC 20 Strength saving throw or be pulled up to 25 feet toward the balor.<br><br><i><b>Teleport:</b></i> The balor magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.; ; <i><b>Death Throes:</b></i> When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons.<br><i><b>Fire Aura:</b></i> At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.<br><i><b>Magic Resistance:</b></i> The balor has advantage on saving throws against spells and other magical effects.<br><i><b>Magic Weapons:</b></i> The balor's weapon attacks are magical.
Demilich; Tiny undead; neutral evil; 20; natural armor; 80; 20d4; 0 ft., 30 f.; 1; 20; 10; 20; 17; 20; Con +6, Int +11, Wis +9, Cha +11; ; bludgeoning, piercing and slashing from magic weapons; necrotic, poison, psychic, bludgeoning, piercing and slashing from nonmagical weapons; charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone, stunned; Truesight 120 ft., PP 13; ---; 18; 20000; ; <i><b>Howl (Recharge 5-6):</b></i> The demilich emits a bloodcurdling howl. Each creature within 30 feet of the demilich that can hear the howl must succeed on a DC 15 Constitution saving throw or drop to 0 hit points. On a successful save, the creature is frightened until the end of its next turn.<br><br><i><b>Life Drain:</b></i> The demilich targets up to three creatures that it can see within 10 feet of it. Each target must succeed on a DC 19 Constitution saving throw or take 21 (6d6) necrotic damage, and the demilich regains hit points equal to the total damage dealt to all targets.<br><br>; The demilich can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The demilich regains spent legendary actions at the start of its turn.<br><br><i><b>Flight:</b></i> The demilich flies up to half its flying speed.<br><i><b>Cloud of Dust:</b></i> The demilich magically swirls its dusty remains. Each creature within 10 feet of the demilich, including around a corner, must succeed on a DC 15 Constitution saving throw or be blinded until the end of the demilich's next turn. A creature that succeeds on the saving throw is immune to this effect until the end of the demilich's next turn.<br><i><b>Energy Drain (Costs 2 Actions):</b></i> Each creature within 30 feet of the demilich must make a DC 15 Constitution saving throw. On a failed save, the creature's hit point maximum is magically reduced by 10 (3d6). If a creature's hit point maximum is reduced to 0 by this effect, the creature dies. A creature's hit point maximum can be restored with the greater restoration spell or similar magic.<br><i><b>Vile Curse (Costs 3 Actions):</b></i> The demilich targets one creature it can see within 30 feet of it. The target must succeed on a DC 15 Wisdom saving throw or be magically cursed. Until the curse ends, the target has disadvantage on attack rolls and saving throws. The target can repeat the saving throw at the end of each of its turns, ending the curse on a success.; <i><b>Avoidance:</b></i> If the demilich is subjected to an effect that allows it to make a saving throw to take only half damage, it instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.<br><br><i><b>Legendary Resistance (3/Day):</b></i> If the demilich fails a saving throw, it can choose to succeed instead.<br><br><i><b>Turn Immunity:</b></i> The demilich is immune to effects that turn undead.
Death Knight; Medium undead; chaotic evil; 20; plate, shield; 180; 19d8+95; 30 ft.; 20; 11; 20; 12; 16; 18; Dex +6, Wis +9, Cha +10; ; ; necrotic, poison; exhaustion, frightened, poisoned; Darkvision 120 ft., PP 13; Abyssal, Common; 17; 18000; ; <i><b>Multiattack:</b></i> The death knight makes three longsword attacks.<br><br><i><b>Longsword:</b> Melee Weapon Attack:</i> +11 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (1d8+5) slashing damage, or 10 (1d10+5) slashing damage if used with two hands, plus 18 (4d8) necrotic damage.<br><br><i><b>Hellfire Orb (1/Day):</b></i> The death knight hurls a magical ball of fire that explodes at a point it can see within 120 feet of it. Each creature in a 20-foot·radius sphere centered on that point must make a DC 18 Dexterity saving throw. The sphere spreads around corners. A creature takes 35 (10d6) fire damage and 35 (10d6) necrotic damage on a failed save, or half as much damage on a successful one.<br><br><h1>Reactions</h1><p><i><b>Parry:</b></i> The death knight adds 6 to its AC against one melee attack that would hit it. To do so, the death knight must see the attacker and be wielding a melee weapon.</p>; ; <i><b>Magic Resistance:</b></i> The death knight has advantage on saving throws against spells and other magical effects.<br><br><i><b>Marshal Undead:</b></i> Unless the death knight is in capacitated, it and undead creatures of its choice within 60 feet of it have advantage on saving throws against features that turn undead.<br><br><i><b>Spellcasting:</b></i> The death knight is a 19th-level spell caster. Its spellcasting ability is Charisma (spell save DC 18, +10 to hit with spell attacks). It has the following paladin spells prepared:<br><br>1st level (4 slots): <i>command, compelled duel, searing smite</i><br>2nd level (3 slots): <i>hold person, magic weapon</i><br>3rd level (3 slots): <i>dispel magic, elemental weapon</i><br>4th level (3 slots): <i>banishment, staggering smite</i><br>5th level (2 slots): <i>destructive wave (necrotic)</i>
Darkmantle; Small monstrosity; unaligned; 11; ; 22; 5d6+5; 10 ft., fly 30 ft.; 16; 12; 13; 2; 10; 5; ; Stealth +3; ; ; ; Blindsight 60 ft., PP 10; --; 1/2; 100; ; <i><b>Crush:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 6 (1d6+3) bludgeoning damage, and the dark mantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way.<br>While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target.<br>A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn, the dark mantle can detach itself from the target by using 5 feet of movement.<br><br><i><b>Darkness Aura (1/Day):</b></i> A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the dark mantle maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.; ; <i><b>Echolocation:</b></i> The darkmantle can't use its blindsight while deafened.<br><br><i><b>False Appearance:</b></i> While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.
Cyclops; Huge giant; chaotic neutral; 14; natural armor; 138; 12d12+60; 30 ft.; 22; 11; 20; 8; 6; 10; ; ; ; ; ; PP 8; Giant; 6; 2300; ; <i><b>Multiattack:</b></i> The cyclops makes two greatclub attacks.<br><br><i><b>Greatclub:</b> Melee Weapon Attack:</i> +9 to hit, reach 10 ft., one target. <i>Hit:</i> 19 (3d8+6) bludgeoning damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +9 to hit, range 30/120 ft., one target. <i>Hit:</i> 28 (4d10+6) bludgeoning damage.; ; <i><b>Poor Depth Perception:</b></i> The cyclops has disadvantage on any attack roll against a target more than 30 feet away.
Crawling Claw; Tiny undead; neutral evil; 12; ; 2; 1d4; 20 ft., climb 20 ft.; 13; 14; 11; 5; 10; 4; ; ; ; poison; charmed, exhaustion, poisoned; Blindsight 30 ft. (blind beyod this radius), PP 10; understands Common but can't speak; 0; 10; ; <i><b>Claw:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) bludgeoning or slashing damage.; ; <i><b>Turn Immunity:</b></i> The claw is immune to effects that turn undead.
Couatl; Medium celestial; lawful good; 19; natural armor; 97; 13d8+39; 30 ft., fly 90 ft.; 16; 20; 17; 18; 20; 18; Con +5, Wis +7, Cha +6; ; radiant; psychic, bludgeoning, piercing and slashing from nonmagical weapons; ; Truesight 120 ft., PP 15; all, Telepathy 120 ft.; 4; 1100; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +8 to hit, reach 5 ft., one creature. <i>Hit:</i> 8 (1d6+5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.<br><br><i><b>Constrict:</b> Melee Weapon Attack:</i> +6 to hit, reach 10 ft., one Medium or smaller creature. <i>Hit:</i> 10 (2d6+3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the couatl can't constrict another target.<br><br><i><b>Change Shape:</b></i> The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice).<br>In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, the couatl can use its bite in that form.; ; <i><b>Innate Spellcasting:</b></i> The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:<br><br>At will: <i>detect evil and good, detect magic, detect thoughts</i><br>3/day each: <i>bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield</i><br>1/day each: <i>dream, greater restoration, scrying</i><br><br><i><b>Magic Weapon:</b></i> The couatl's weapon attacks are magical.<br><br><i><b>Shielded Mind:</b></i> The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detects its location.
Cockatrice; Small monstrosity; unaligned; 11; ; 27; 6d6+6; 20 ft., fly 40 ft.; 6; 12; 12; 2; 13; 5; ; ; ; ; ; Darkvision 60 ft., PP 11; ---; 1/2; 100; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.; ; 
Cloaker; Large aberration; chaotic neutral; 14; natural armor; 78; 12d10+12; 10 ft., fly 40 ft.; 17; 15; 12; 13; 12; 14; ; Stealth +5; ; ; ; Darkvision 60 ft., PP 11; Deep Speech, Undercommon; 8; 3900; ; <i><b>Multiattack:</b></i> The cloaker makes two attacks: one with its bite and one with its tail.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (2d6+3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it.If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check.<br><br><i><b>Tail:</b> Melee Weapon Attack:</i> +6 to hit, reach 10 ft., one creature. <i>Hit:</i> 7 (1d8+3) slashing damage.<br><br><i><b>Moan:</b></i> Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful, the creature is immune to the cloaker's moan for the next 24 hours.<br><br><i><b>Phantasms (Recharges after a Short or Long Rest):</b></i> The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear.<br>Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight.<br>A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw against an effect that deals damage, the duplicate disappears.; ; <i><b>Damage Transfer:</b></i> While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down), and that creature takes the other half.<br><br><i><b>False Appearance:</b></i> While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.<br><br><i><b>Light Sensitivity:</b></i> While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.
Chuul; Large aberration; chaotic evil; 16; natural armor; 93; 11d10+33; 30 ft., swim 30 ft.; 19; 10; 16; 5; 11; 5; ; Perception +4; ; poison; poisoned; Darkvision 60 ft., PP 14; understands Deep Speech but can't speak; 4; 1100; ; <i><b>Multiattack:</b></i> The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.<br><br><i><b>Pincer:</b> Melee Weapon Attack:</i> +6 to hit, reach 10 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.<br><br><i><b>Tentacles:</b></i> One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; <i><b>Amphibious:</b></i> The chuul can breathe air and water.<br><br><i><b>Sense Magic:</b></i> The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.
Chimera; Large monstrosity; chaotic evil; 14; natural armor; 114; 12d10+48; 30 ft., fly 60 ft.; 19; 11; 19; 3; 14; 10; ; Perception +8; ; ; ; Darkvision 60 ft., PP 18; understands Draconic but can't speak; 6; 2300; ; <i><b>Multiattack:</b></i> The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) piercing damage.<br><br><i><b>Horns:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (1d12+4) bludgeoning damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) slashing damage.<br><br><i><b>Fire Breath (Recharge 5-6):</b></i> The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.; ; 
Centaur; Large monstrosity; neutral good; 12; ; 45; 6d10+12; 50 ft.; 18; 14; 14; 9; 13; 11; ; Athletics +6, Perception +3, Survival +3; ; ; ; PP 13; Elvish, Sylvan; 2; 450; ; <i><b>Multiattack:</b></i> The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.<br><br><i><b>Pike:</b> Melee Weapon Attack:</i> +6 to hit, reach 10 ft., one target. <i>Hit:</i> 9 (1d10+4) piercing damage.<br><br><i><b>Hooves:</b> Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage.<br><br><i><b>Longbow:</b> Ranged Weapon Attack:</i> +4 to hit, range 150/600 ft., one target. <i>Hit:</i> 6 (1d8+2) piercing damage.; ; <i><b>Charge:</b></i> If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.
Carrion Crawler; Large monstrosity; unaligned; 13; natural armor; 51; 6d10+18; 30 ft., climb 30 ft.; 14; 13; 16; 1; 12; 5; ; Perception +3; ; ; ; Darkvision 60 ft., PP 13; ---; 2; 450; ; <i><b>Multiattack:</b></i> The carrion crawler makes two attacks: one with its tentacles and one with its bite.<br><br><i><b>Tentacles:</b> Melee Weapon Attack:</i> +8 to hit, reach 10 ft., one creature. <i>Hit:</i> 4 (1d4+2) poison damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the poison on itself on a success.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (2d4+2) piercing damage.; ; <i><b>Keen Smell:</b></i> The carrion crawler has advantage on Wisdom (Perception) checks that rely on smell.<br><br><i><b>Spider Climb:</b></i> The carrion crawler can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Cambion; Medium fiend; any evil alignment; 19; scale mail; 82; 11d8+33; 30 ft., fly 60 ft.; 18; 18; 16; 14; 12; 16; Str +7, Con +6, Int +5, Cha +6; Deception +6, Intimidation +6, Perception +4, Stealth +7; cold, fire, lightning, poison, bludgeoning, piercing and slashing from nonmagical weapons ; ; ; Darkvision 60 ft., PP 14; Abyssal, Common, Infernal; 5; 1800; ; <i><b>Multiattack:</b></i> The cambion makes two melee attacks or uses its Fire Ray twice.<br><br><i><b>Spear:</b> Melee or Ranged Weapon Attack:</i> +7 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 7 (1d6+4) piercing damage, or 8 (1d8+4) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.<br><br><i><b>Fire Ray:</b> Ranged Spell Attack:</i> +7 to hit, range 120 ft., one target. <i>Hit:</i> 10 (3d6) fire damage.<br><br><i><b>Fiendish Charm:</b></i> One humanoid the cambion can see within 30 feet of it must succeed on a DC 14 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the cambion's spoken commands. If the target suffers any harm from the cambion or another creature or receives a suicidal command from the cambion, the target can repeat the saving throw, ending the effect on itself on a success. If a target's saving throw is successful, or if the effect ends for it, the creature is immune to the cambion's Fiendish Charm for the next 24 hours.; ; <i><b>Fiendish Blessing:</b></i> The AC of the cambion includes its Charisma bonus.<br><br><i><b>Innate Spellcasting:</b></i> The cambion's spellcasting ability is Charisma (spell save DC 14). The cambion can innately cast the following spells, requiring no material components:<br><br>3/day each: <i>alter self, command, detect magic</i><br>1/day: <i>plane shift (self only)</i>
Bullywug; Medium humanoid (bullywug); neutral evil; 15; hide armor, shield; 11; 2d8+2; 20 ft., swim 40 ft.; 12; 12; 13; 7; 10; 7; ; Stealth +3; ; ; ; PP 10; Bullywug; 1/4; 50; ; <i><b>Multiattack:</b></i> The bullywug makes two melee attacks: one with its bite and one with its spear.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4+1) bludgeoning damage.<br><br><i><b>Spear:</b> Melee or Ranged Weapon Attack:</i> +3 to hit, reach 5 ft, or range 20/60 ft., one target. <i>Hit:</i> 4 (1d6+1) piercing damage, or 5 (1d8+1) piercing damage if used with two hands to make a melee attack.<br>; ; <i><b>Amphibious:</b></i> The bullywug can breathe air and water.<br><br><i><b>Speak with Frogs and Toads:</b></i> The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.<br><br><i><b>Swamp Camouflage:</b></i> The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.<br><br><i><b>Standing Leap:</b></i> The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.
Bulette; Large monstrosity; unaligned; 17; natural armor; 94; 9d10+45; 40 ft., burrow 40 ft.; 19; 11; 21; 2; 10; 5; ; Perception +6; ; ; ; Darkvision 60 ft., Tremmorsense 60 ft., PP 16; ---; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 30 (4d12+4) piercing damage.<br><br><i><b>Deadly Leap:</b></i> If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6+4) bludgeoning damage plus 14 (3d6+4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 feet out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.; ; <i><b>Standing Leap:</b></i> The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.
Bugbear Chief; Medium humanoid (goblinoid); chaotic evil; 17; chain shirt, shield; 65; 10d8+20; 30 ft.; 17; 14; 14; 11; 12; 11; ; Intimidation +2, Stealth +6, Survival +3; ; ; ; Darkvision 60 ft., PP 11; Common, Goblin; 3; 700; ; <i><b>Multiattack:</b></i> The bugbear makes two melee attacks.<br><br><i><b>Morningstar:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d8+3) piercing damage.<br><br><i><b>Javelin:</b> Melee or Ranged Weapon Attack:</i> +5 to hit, reach 5 ft. or range 30/120 ft., one target. <i>Hit:</i> 10 (2d6+3) piercing damage in melee or 6 (1d6+3) piercing damage at range.; ; <i><b>Brute:</b></i> A melee weapon attack deals one extra die of its damage when the bugbear hits with it (included in the attack).<br><br><i><b>Heart of Hruggek:</b></i> The bugbear has advantage on saving throws against being charmed, frightened, paralyzed, poisoned, stunned, or put to sleep.<br><br><i><b>Surprise Attack:</b></i> If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Bugbear; Medium humanoid (goblinoid); chaotic evil; 16; hide armor, shield; 27; 5d8+5; 30 ft.; 15; 14; 13; 8; 11; 9; ; Stealth +6, Survival +2; ; ; ; Darkvision 60 ft., PP 10; Common, Goblin; 1; 200; ; <i><b>Morningstar:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d8+2) piercing damage.<br><br><i><b>Javelin:</b> Melee or Ranged Weapon Attack:</i> +4 to hit, reach 5 ft. or range 30/120 ft., one target. <i>Hit:</i> 9 (2d6+2) piercing damage in melee or 5 (1d6+2) piercing damage at range.; ; <i><b>Brute:</b></i> A melee weapon attack deals one extra die of its damage when the bugbear hits with it (included in the attack).<br><br><i><b>Surprise Attack:</b></i> If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Vine Blight; Medium plant; neutral evil; 12; natural armor; 26; 4d8+8; 10 ft.; 15; 8; 14; 5; 10; 3; ; Stealth +1; ; ; blinded, deafened; Blindsight 60 ft (blind beyond this radius), PP 10; Common; 1/2; 100; ; <i><b>Constrict:</b> Melee Weapon Attack:</i> +4 to hit, reach 10 ft., one target. <i>Hit:</i> 9 (2d6+2) bludgeoning damage, and a Large or smaller target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the blight can't constrict another target.<br><br><i><b>Entangling Plants (Recharge 5-6):</b></i> Grasping roots and vines sprout in a 15-foot radius centered on the blight, withering away after 1 minute. For the duration, that area is difficult terrain for non plant creatures. In addition, each creature of the blight's choice in that area when the plants appear must succeed on a DC 12 Strength saving throw or become restrained. A creature can use its action to make a DC 12 Strength check, freeing itself or another entangled creature within reach on a success.; ; <i><b>False Appearance:</b></i> While the blight remains motionless, it is indistinguishable from a tangle of vines.
